dataset;preprocessing;n_neighbors;test_score
Iemocap-PosNegNeu;raw;46.0;0.5542168674698795
Iemocap-PosNegNeu;normalize;43.0;0.5531215772179627
Iemocap-PosNegNeu;standardize;14.0;0.595290251916758
RAVDESS-PosNegNeu;raw;23.0;0.6138888888888889
RAVDESS-PosNegNeu;normalize;53.0;0.6055555555555555
RAVDESS-PosNegNeu;standardize;2.0;0.7416666666666667
Crema-D-PosNegNeu;raw;40.0;0.6851155292853305
Crema-D-PosNegNeu;normalize;73.0;0.6856528747984955
Crema-D-PosNegNeu;standardize;13.0;0.7189682966147233
SAVEE-PosNegNeu;raw;21.0;0.5833333333333334
SAVEE-PosNegNeu;normalize;13.0;0.5916666666666667
SAVEE-PosNegNeu;standardize;11.0;0.8
TESS-PosNegNeu;raw;15.0;0.8214285714285714
TESS-PosNegNeu;normalize;15.0;0.8185714285714286
TESS-PosNegNeu;standardize;15.0;0.9928571428571428
Emo-DB-PosNegNeu;raw;5.0;0.7164179104477612
Emo-DB-PosNegNeu;normalize;15.0;0.7089552238805971
Emo-DB-PosNegNeu;standardize;16.0;0.8283582089552238
English-Assembly-Six-PosNegNeu;raw;26.0;0.6374845869297164
English-Assembly-Six-PosNegNeu;normalize;14.0;0.6370735717221537
English-Assembly-Six-PosNegNeu;standardize;11.0;0.7018084669132758
